"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"273428014","2023-08-24T00:00:00.000","19:46:00","QUEENS","OUTSIDE","114","0","STREET","(null)","false","(null)","(null)","(null)","18-24","M","WHITE","1006946","223582","40.78033","-73.918047","POINT (-73.918047 40.78033)"
"273520489","2023-08-23T00:00:00.000","22:41:00","BRONX","OUTSIDE","48","0","STREET","(null)","false","(null)","(null)","(null)","18-24","M","BLACK","1017196","245472","40.84038","-73.88093","POINT (-73.88093 40.84038)"
"273315866","2023-08-23T00:00:00.000","01:36:00","BROOKLYN","OUTSIDE","79","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1001484","187775","40.682061","-73.93786","POINT (-73.93786 40.682061)"
"273301860","2023-08-22T00:00:00.000","22:09:00","BROOKLYN","OUTSIDE","63","0","DWELLING","PVT HOUSE","false","(null)","(null)","(null)","<18","F","WHITE HISPANIC","1009031","165784","40.621683","-73.910733","POINT (-73.910733 40.621683)"
"273301858","2023-08-22T00:00:00.000","04:05:00","MANHATTAN","INSIDE","19","0","HOUSING","MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","999359","224279","40.782259","-73.945441","POINT (-73.945441 40.782259)"
"273301861","2023-08-22T00:00:00.000","16:51:00","BRONX","OUTSIDE","47","0","COMMERCIAL","CHAIN STORE","false","18-24","M","BLACK","25-44","M","WHITE HISPANIC","1025792","268868","40.904557","-73.849717","POINT (-73.849717 40.904557)"
"273301861","2023-08-22T00:00:00.000","16:51:00","BRONX","OUTSIDE","47","0","COMMERCIAL","CHAIN STORE","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1025792","268868","40.904557","-73.849717","POINT (-73.849717 40.904557)"
"273301859","2023-08-22T00:00:00.000","19:51:00","QUEENS","OUTSIDE","113","0","COMMERCIAL","BEAUTY/NAIL SALON","false","18-24","M","ASIAN / PACIFIC ISLANDER","25-44","M","BLACK","1047071","189114","40.685529","-73.773485","POINT (-73.773485 40.685529)"
"273233819","2023-08-21T00:00:00.000","02:26:00","MANHATTAN","OUTSIDE","34","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1003977","250320","40.85372341677352","-73.92869108629856","POINT (-73.92869108629856 40.85372341677352)"
"273233816","2023-08-21T00:00:00.000","12:44:00","MANHATTAN","OUTSIDE","28","0","HOUSING","MULTI DWELL - PUBLIC HOUS","false","(null)","(null)","(null)","18-24","M","BLACK","996736","231658","40.802516","-73.954899","POINT (-73.954899 40.802516)"
"273233817","2023-08-21T00:00:00.000","05:00:00","BROOKLYN","OUTSIDE","79","0","OTHER","HOSPITAL","false","(null)","(null)","(null)","25-44","M","BLACK","1000459","194494","40.700503","-73.94154","POINT (-73.94154 40.700503)"
"273233818","2023-08-21T00:00:00.000","15:25:00","BROOKLYN","INSIDE","75","0","COMMERCIAL","GROCERY/BODEGA","true","<18","M","BLACK","18-24","M","BLACK","1013290","182577","40.667761","-73.895318","POINT (-73.895318 40.667761)"
